Period,net_income,depreciation,capex,working_capital_change,owner_earnings
2024,-608034000.0,35572000.0,-40617000.0,89144000.0,-523935000.0
2023,-513050000.0,30493000.0,-30597000.0,43360000.0,-469794000.0
2022,-258043000.0,23995000.0,-54890000.0,250719000.0,-38219000.0
2021,-180324000.0,15943000.0,-32340000.0,-861516000.0,-1058237000.0
2020,-114164000.0,7404000.0,-23713000.0,0.0,-130473000.0
